school_id_a,school_id_b,confidence
632,12477,62.295081967213115
633,12615,60.86956521739131
634,12615,62.92134831460674
635,11050,50.0
636,12615,50.0
637,12255,46.15384615384615
638,12615,62.92134831460674
639,62650,48.10126582278481
640,12615,48.97959183673469
641,12477,47.27272727272728
642,12296,65.93406593406593
643,12615,60.952380952380956
644,12615,55.319148936170215
645,11107,66.66666666666667
646,42294,43.63636363636364
647,41668,42.85714285714286
648,4166,57.971014492753625
649,4166,43.37349397590361
650,42358,45.833333333333336
651,32394,56.00000000000001
652,41702,48.38709677419355
653,42294,50.0
654,4166,60.0
655,4166,51.28205128205128
656,5790,54.86725663716814
657,22883,61.53846153846154
658,41701,62.33766233766234
659,41735,61.33333333333333
660,43258,44.44444444444444
661,42294,57.49999999999999
662,42755,48.0
663,42294,48.35164835164834
664,42294,43.47826086956522
665,43527,44.89795918367348
666,41861,49.23076923076923
667,4166,50.0
668,4166,47.5
669,42294,40.86021505376344
670,42100,47.31182795698925
671,42294,51.85185185185186
672,43271,47.706422018348626
673,43723,47.61904761904761
674,42163,47.05882352941176
675,42294,60.0
676,42769,46.601941747572816
677,42357,52.94117647058824
678,42294,60.0
679,43717,50.79365079365079
680,41793,48.71794871794872
681,42554,49.48453608247423
682,22886,50.0
683,4527,46.808510638297875
684,42294,41.23711340206185
685,44535,51.02040816326531
687,41748,41.02564102564102
688,43258,46.37681159420289
689,42358,44.24778761061947
690,42294,50.0
691,4166,49.350649350649356
692,42294,51.28205128205128
693,44027,47.82608695652174
694,42294,46.34146341463414
695,42461,40.816326530612244
696,41748,43.85964912280702
697,4166,46.913580246913575
698,43117,53.84615384615385
699,43258,44.11764705882353
700,43900,65.82278481012658
701,41668,43.75
702,42294,46.51162790697675
703,22861,59.81308411214954
704,22883,60.0
705,24786,53.91304347826087
706,42294,55.88235294117647
707,43258,47.887323943661976
708,42100,50.0
709,41735,58.97435897435898
710,42558,64.7887323943662
711,43723,46.15384615384615
712,4166,50.66666666666666
713,41861,51.61290322580645
714,42050,47.05882352941176
715,44122,56.52173913043479
716,12615,60.86956521739131
717,12615,50.0
718,21853,61.1764705882353
719,12799,68.62745098039215
720,12615,54.73684210526315
721,34332,37.28813559322034
722,21853,58.97435897435898
723,34332,42.42424242424242
724,36059,44.99999999999999
725,37187,39.21568627450981
726,33628,41.379310344827594
727,3215,59.154929577464785
728,36059,41.55844155844156
729,11472,43.0379746835443
730,1491,53.16455696202531
731,1491,59.74025974025974
732,35240,44.64285714285714
733,3215,40.0
734,3215,40.0
735,3643,41.379310344827594
736,36059,46.808510638297875
737,3215,39.50617283950617
738,11965,39.13043478260869
739,12255,48.88888888888889
740,14431,60.67415730337078
741,56136,41.379310344827594
742,34332,46.0
743,1766,45.16129032258065
744,1170,52.63157894736843
745,16126,48.88888888888889
746,12319,51.685393258426956
747,16349,43.0379746835443
748,16281,44.44444444444444
749,1491,62.5
750,12615,58.69565217391304
751,1491,54.761904761904766
752,16349,42.352941176470594
753,16281,50.98039215686274
754,12615,52.0
755,12705,60.3448275862069
756,13763,57.14285714285714
757,12763,64.19753086419753
758,12319,58.97435897435898
759,13292,46.42857142857143
760,12477,48.837209302325576
761,1491,57.53424657534247
762,12477,53.65853658536586
763,16349,43.47826086956522
764,16349,58.97435897435898
765,16252,44.44444444444444
766,16633,53.06122448979591
