school_id,Potential_School_Name_transliterated,Assigned_District_Name
392,A.NdI barAhI prA vi,tanahu.n
393,ChAbdI vArahI A vi,tanahu.n
394,janasevikA prA vi,tanahu.n
395,ravichandra prA vi,tanahu.n
396,vedavyAsa prA vi,tanahu.n
397,mahendrajyotI prA vi,tanahu.n
398,rAShTriya mA vi,tanahu.n
399,aruNA prA vi,tanahu.n
400,shiva sarasvatI mA vi,tanahu.n
401,janapriya A vi,tanahu.n
402,rAma prA vi,tanahu.n
403,vasanta A vi,tanahu.n
404,harpanakoTa mA vi,kaski
405,deurAlI prA vi,tanahu.n
406,mardashA prA vi,tanahu.n
407,bAlikA prA vi,tanahu.n
408,kusmAvati prA vi,tanahu.n
409,bAla mandira mA vi,tanahu.n
410,sarvajyotI ni mA viA vi,tanahu.n
411,buddha prA vi,tanahu.n
412,bajrayoganI mA vi,tanahu.n
413,kAlikA A vi,tanahu.n
414,rAmeshvarI mA vi,kaski
415,pa~nchakanyA A vi,tanahu.n
416,gogana mA vi,kaski
417,tAmu~Na prA vi,tanahu.n
418,pasale A vi,tanahu.n
419,aruNa mA vi,tanahu.n
420,sarasvatI A vi,tanahu.n
421,kotakAlikA prA vi,tanahu.n
422,sarvajyoti prA vi,tanahu.n
423,kAlikA mA vi,tanahu.n
424,bhAnu saMskRRita mA vi,tanahu.n
425,kAlikA mA vi,kaski
426,chandi prA vi,tanahu.n
427,riShithuma prA vi,tanahu.n
428,shramika prA vi,tanahu.n
429,gaNosha prA vi,tanahu.n
430,bhirkoTa A vi,tanahu.n
431,bAla vikAsa mA vi,tanahu.n
432,tAtopAnI prA vi,tanahu.n
433,A.Nbu prA vi,tanahu.n
434,shiva sundara prA vi,tanahu.n
435,amarajyoti mA vi,tanahu.n
436,kalpeshvara A vi,kathamadaum
437,jala devI mA vi,tanahu.n
438,maMgalA mA vi,lamaju~na
439,pa~nchajyoti prA vi,tanahu.n
440,shahIda kRRiShNa mA vi,tanahu.n
441,himAlaya mA vi,kaski
442,nara prA vi,tanahu.n
443,dipendra A vi,purva navalaparasi
444,bAla vikAsa prA vi,tanahu.n
445,bAla naketana ni mA viA vi,tanahu.n
446,janapremI mA vi,tanahu.n
447,aruNodaya prA vi,tanahu.n
448,sahavIra A vi,tanahu.n
449,gAu.Npharkodaya mA vi,tanahu.n
450,udaya A vi,bhaktapura
451,vishvashAntI prA vi,sya~ngaja
452,rAShTiya A vi,tanahu.n
453,jaladevI A vi,tanahu.n
454,rAmashAha mA vi,tanahu.n
455,janakalyANA mA vi,tanahu.n
456,mahAdevasthAna A vi,gorakha
458,vArAhI mA vi,tanahu.n
459,rAShTriya A vi,kathamadaum
460,mahasyakanyA ni mA viA vi,tanahu.n
461,chaNDeshvarI A vi,tanahu.n
462,shAnti varSha prA vi,tanahu.n
463,navajyoti prA vi,kaski
464,tAlabesI mA vi,tanahu.n
465,amarajyoti gAu.Npharka mA vi,kaski
466,lakShmI Adarsha u mA vi,kaski
467,janasahayogI prA vi,tanahu.n
468,guheshvarI ni mA viA vi,kathamadaum
469,shuklA mA vi,tanahu.n
470,kanyA debI prA vi,tanahu.n
471,ChabdI mA vi,tanahu.n
472,khairenI mA vi,tanahu.n
473,dila prA vi,tanahu.n
474,masryA~NgadI A vi,tanahu.n
475,shahIda kRRiShNa mA vi,tanahu.n
476,bhAnu mA vi,tanahu.n
477,sImAnA prA vi,tanahu.n
478,rAjapura mA vi,tanahu.n
479,kAlikA mA vi,kaski
480,rajasthala prA vi,tanahu.n
481,AdhArabhuta mA vi,tanahu.n
482,maheshvarI mA vi,kaski
483,janajAgRRitI j~nAna rashmi mA vi,kathamadaum
484,chandi debI prA vi,tanahu.n
485,ratna rAjya lakShmI kanyA A vi,tanahu.n
486,sUryodaya A vi,tanahu.n
487,aruNodaya mA vi,chitavana
488,bhavAnIkAlikA mA vi,kaski
489,bAlamiterI mA vi,da~nga
490,bAlavikAsa prA vi,da~nga
491,A.NdI barAhI A vi,tanahu.n
492,janashrama prA vi,rolpa
493,ni mA viA vi,da~nga
494,mA vi,da~nga
495,kRRiShNa A vi,rolpa
496,ni mA viA vi,rolpa
497,janatA saMskRRita mA vi,da~nga
498,prA vi,da~nga
499,prA vi,da~nga
500,gaNesha A vi,da~nga
501,tribhuvana jana mA vi,salyana
502,yugavodha A vi,da~nga
503,rAtrI A vi,da~nga
504,chaudhare ni mA viA vi,da~nga
505,mA vi,da~nga
506,prA vi,gorakha
507,prA vi,da~nga
508,nepAla rAShTiya mA vi,bardiya
509,prA vi,da~nga
510,A vi,da~nga
511,vela deukhurI ni mA viA vi,da~nga
512,prA vi,da~nga
513,sAdhAraNa namunA mA vi,da~nga
514,sarasvatI prA vi,ilama
515,mAure pipala prA vi,ilama
516,mahendrodaya A vi,ilama
517,shAradA prA vi,ilama
518,paMcha kanyA prA vi,khota~na
519,gurA.Nsa A vi,khota~na
521,janaka mA vi,ilama
522,jhamkala mA vi,ilama
523,tomAne ni mA viA vi,khota~na
524,janatA prA vi,siraha
525,janachetanA prA vi,khota~na
526,bAlakalyANa prA vi,khota~na
527,janatA mA vi,siraha
528,sArashvaranAtha mA vi,siraha
529,kuhu.NDA.NDA mA vi,khota~na
530,janatA mA vi,saptari
531,vidyAjyotI prA vi,ilama
532,kuhuDA.NDA mA vi,khota~na
533,janatA mA vi,siraha
534,dAmlI mA vi,khota~na
535,paM~nchAvatI A vi,khota~na
536,lakShmI u mA vi,khota~na
537,dudhakoshI prA vi,khota~na
538,malupokharI A vi,ilama
539,janajyoti A vi,khota~na
540,vidhodaya prA vi,khota~na
541,mA vi,jumla
542,nepAla rAShTriya A vi,mahottari
543,umA maheshvara ni mA viA vi,ilama
544,chisopAnI u mA vi,ilama
545,viNAA prA vi,khota~na
546,buddha A vi,ilama
547,chandrakalA prA vi,ilama
548,DikuvA A vi,khota~na
