arun valley public vi,0,9,arun valley boarding vi khandbari sankhuwasabha,,khandbari napa
arunkoshi,1,1,arunkoshi pravi,,shadananda napa
arunodaya,1,4,,,gauradaha napa
arunodaya  biratnagar,1,6,arunodaya avi,,biratnagar napa city
arunodaya  gahate,1,7,arunodaya pravi,,siddhicharan napa
arunodaya  arjundhara,1,4,arunodaya avi,arunodaya avi,arjundhara napa
arunodaya ebs,0,4,arunodaya ebs,,kanakai napa
arunodaya ebs,0,4,arunodaya awasiya ma vi,arunodaya awasiya ebs,mechinagar napa
arunodaya ebs,0,6,arunodaya ebs,,pathari shanishchare napa
arunodaya karmajyamu,1,9,arunodaya pravi,,bhotkhola rural napa
arunodaya,2,3,,,sandakpur rural napa
arunodaya,2,4,,,shivasatakshi napa
arunodaya,2,9,,,dharmadevi napa
arunodaya,2,1,arunodaya pravi,,hatuwagadhi rural napa
arunodaya ma ebs,0,3,arunodaya awasiya ebs,,suryodaya napa
arunodaya ma vi,0,9,,,bhotkhola rural napa
arunodaya ma vi,0,1,arunodaya ma vi,arunodaya ma vi,arun rural napa
arya a viidhalaya harinagar gautampur,0,11,arya pravi,,harinagar rural napa
asanglung,1,12,asanglung pravi,,maiwakhola rural napa
asari ebs,0,14,,,triyuga napa
ascent academy,0,4,acent academy,,birtamod napa
ashadeep ebs,0,3,ashadeep ebs,,ilam napa
asian academy,0,4,,,damak napa
asian star educational academy nepal,0,4,asian star education academy,,bhadrapur napa
asine,1,13,asine avi,,menchhayayem rural napa
asmin memorial ebs,0,4,asmin memorial ebs,,shivasatakshi napa
asmita and abishek academy,0,11,asmita abisek academy,,duhabi napa
athrai ebs,0,13,,,aathrai rural napa
aulia taulia,1,1,aulia taulia pravi,,pauwadungma rural napa
auliya ma vi,0,11,auliya ma vi,ahuliya ma vi,barahkshetra napa
awatariraksha,2,1,awatariraksha pravi,,hatuwagadhi rural napa
azalea ma ebs,0,6,,,biratnagar napa city
b p saraswati,2,11,,,ramdhuni napa
b padharvut v harinagar,0,11,b p pravi,,harinagar rural napa
b s model ebs,0,11,,,duhabi napa
b b memorial ebs,0,3,bb memorial english boarding vi,bb memorial ebs,ilam napa
b n educational academy,0,6,bn educational academy,,belbari napa
b p,1,11,b p avi,bp nimavi,inaruwa napa
b p madan,1,11,bp madan avi,bp madan avi rural municipality,koshi rural napa
baba dinabhadri,1,6,baba dinabhadri pravi,,jahada rural napa
babuji,1,11,babuji a,babuji pravi,dewanganj rural napa
baby jyoti ebs,0,4,,,kachankawal rural napa
babycare ebs,0,5,bebikear ebs,,kepilasagadhi rural napa
babyjyoti ebs,0,4,,,kachankawal rural napa
babyland education foundation,0,4,bebiland education foundation,,birtamod napa
babylon ma ebs itahari,0,11,,,itahari sub napa city
bachala devi,1,5,bachala devi pravi,,rawa besi rural napa
bad danda,1,7,badadanda avi,badadanda nimavi,likhu rural napa
bagarbari,1,12,bagarbari pravi,,phungling napa
bageswari  gohiya,1,14,bageswari pravi gohiya,,udayapurgadhi rural napa
bagh jhoda ganatantrik,2,6,,,sundarharaincha napa
bagishwari a viidyalaya,0,9,bagishwori a viidyalaya,bageshwori avi,silichong rural napa
bagishwary ma vi dhungedhara,0,9,bagishwary uchha ma vi,,khandbari napa
bagmati ebs,0,3,,,phakphokthum rural napa
baguwa,2,4,,,gauriganj rural napa
bahadur baba chaudhari,1,6,bahadur babu chaudhari pravi,,urlabari napa
bahuban ma vi,0,3,bahuban ma vi,,rong rural napa
bahumukhi,1,6,bahumukhi avi,,miklajung rural napa
bahuni collegiate ebs,0,6,,,belbari napa
baijanath adhikari prarambik sanskrit bhadyapith,0,6,baijanath prarambik sanskrit bhadyapith,,letang napa
baijanath baijani  sirisedada,1,14,baijanath baijani avi sirisedada,baijanath baijani pravi,udayapurgadhi rural napa
baikalpik,2,5,baikalpik pravi,,ainselukharka rural napa
bairati,1,4,bairati pravi,,gauradaha napa
bakhari,1,6,bakhari avi,bakhari avi,biratnagar napa city
bakraha ma vi,0,6,bakraha ma vi,,miklajung rural napa
bakshila,1,3,bakshila pravi,,deumai napa
bal adarsha ebs,0,11,bal adarsha ebs,,itahari sub napa city
bal adarsha vidya mandir,0,6,bal adarsha bidhyamandir,ke bi smarak english boarding vi,pathari shanishchare napa
bal bahubhasiya,1,11,bal bahubhasiya pravi,,itahari sub napa city
bal balika,2,9,,,khandbari napa
bal bhadra janata ma vi,0,4,,,mechinagar napa
bal bidhya niketan ebs,0,5,,,ainselukharka rural napa
bal bidya mandir,0,3,,,mai napa
bal bidya mandir,1,6,bal bidya mandir pravi,,gramthan rural napa
bal bidya mandir ebs,0,11,,,duhabi napa
bal bikas,1,6,bal bikash adharvut vi,bal bikash avi,letang napa
bal bikas ebs,0,11,bal bikash ebs,,itahari sub napa city
bal bikash,1,4,,,mechinagar napa
bal bikash,1,9,bal bikash avi nabagaun,bal bikash pravi,makalu rural napa
bal bikash,1,3,bal bikash pravi,,suryodaya napa
bal bikash,1,6,bal bikash pravi,,ratuwamai napa
bal bikash,1,6,bal bikash pravi,,ratuwamai napa
bal bikash,1,5,bal bikash pravi,,halesi tuwachung napa
bal bikash  lamechaur,1,9,bal bikash pravi,,chainpur napa
bal bikash,2,5,,,diktel rupakot majhuwagadhi napa
bal bikash,2,14,,,katari napa
bal chetana  nageswary,1,9,bal chetana pravi,,khandbari napa
bal chetana,2,5,,,ainselukharka rural napa
bal devi,2,5,,,rawa besi rural napa
bal jagat ebs,0,6,bal jagat ebs,,belbari napa
bal jyoti aadarsa vidhya sadan ebs,0,6,baljyoti english boarding vi ratuwamai morang,,ratuwamai napa
bal jyoti academy,0,6,,,kanepokhari rural napa
bal jyoti  koksa,1,9,bal jyoti pravi,,chainpur napa
bal jyoti ebs,0,6,baljyoti english vi,,kanepokhari rural napa
bal jyoti namuna eng ebs,0,6,bal jyoti namuna eng bo vi,,sundarharaincha napa
bal jyoti,2,4,,,shivasatakshi napa
bal jyoti,2,5,,,diktel rupakot majhuwagadhi napa
bal jyoti,2,14,,,katari napa
bal jyoti,2,4,bal jyoti pravi,,arjundhara napa
bal jyoti,2,6,bal jyoti pravi,,urlabari napa
bal jyoti pratisthan ebs,0,4,,,bhadrapur napa
bal kalyan  kusunde,1,3,bal kalyan pravi,,mangsebung rural napa
bal kalyan a viidhylaya,0,9,bal kalyan pravi,,makalu rural napa
bal kalyan awasiya ma vi,0,4,bal kalyan awasiya ebs,,birtamod napa
bal kalyan  kingring,1,9,bal kalyan pravi,,chainpur napa
bal kalyan,1,3,bal kalyan a via,bal kalyan pravi,mai napa
bal kalyan,1,6,bal kalyan pravi,,kerabari rural napa
bal kalyan,1,6,bal kalyan pravi,,kerabari rural napa
bal kalyan,1,6,bal kalyan pravi,,kerabari rural napa
bal kalyan,1,1,bal kalyan pravi,,aamchowk rural napa
bal kalyan,1,5,bal kalyan pravi,,halesi tuwachung napa
bal kalyan,2,3,,,mangsebung rural napa
bal kalyan,2,3,,,sandakpur rural napa
bal kalyan,2,3,,,rong rural napa
bal kalyan,2,3,,,mai napa
bal kalyan,2,3,,,sandakpur rural napa
bal kalyan,2,9,,,bhotkhola rural napa
bal kalyan,2,1,,,salpasilichho rural napa
bal kalyan  chatiwane,2,14,,,limchungbung rural napa
bal kalyan,2,6,bal kalyan pravi,,letang napa
bal kalyan,2,1,bal kalyan pravi,,hatuwagadhi rural napa
bal kalyan vidhya mandir ma vi,0,6,bal kalyan vidya mandir,,biratnagar napa city
bal kanya,1,5,bal kanya pravi,,barahapokhari rural napa
bal kanya,2,3,,,rong rural napa
bal kanya,2,9,,,silichong rural napa
bal kanya,2,1,,,bhojpur napa
bal kanya,2,5,,,diktel rupakot majhuwagadhi napa
bal kanya,2,5,,,halesi tuwachung napa
bal kanya,2,5,,,diktel rupakot majhuwagadhi napa
bal kanya,2,1,bal kanya pravi,,hatuwagadhi rural napa
bal ma vi rani,0,6,bal ma vi,,biratnagar napa city
bal ma vi,0,6,bal ma vi,,biratnagar napa city
bal mandir,1,12,bal mandir pravi,,phungling napa
bal mandir,1,3,bal mandir a via,bal mandir pravi,mai napa
bal mandir,1,6,bal mandir pravi,,biratnagar napa city
bal mandir,1,9,bal mandir pravi,,chainpur napa
bal mandir ma vi,0,11,,,inaruwa napa
bal mandir,2,3,,,ilam napa
bal mandir,2,13,,,myanglung napa
bal mandir,2,5,,,khotehang rural napa
bal mukhi,1,14,bal mukhi pravi ajgar,,chaudandigadhi napa
bal namuna bidya mandir ebs,0,6,bal namuna vidya mandir eng vi,balnamuna bidya mandir ebs,pathari shanishchare napa
bal niketan ebs,0,6,,,letang napa
bal niketan,2,3,,,sandakpur rural napa
bal nikunja,1,13,bal nikunja pravi,,phedap rural napa
bal  bansbote ahaltar,2,14,,,limchungbung rural napa
bal pragati,1,3,bal pragati a via,bal pragati pravi,mai napa
bal pratibha ebs,0,6,bal pratibha ebs,,sundarharaincha napa
bal pratibha montessori vi,0,11,,,itahari sub napa city
bal pushpika montessori,0,4,,,mechinagar napa
bal sansar academy,0,4,,,jhapa rural napa
bal sansar montessori vi,0,11,,,itahari sub napa city
bal sewa,1,4,bal sewa avi,,shivasatakshi napa
bal shakti,1,1,bal shakti pravi,,aamchowk rural napa
bal srijana ebs,0,6,,,pathari shanishchare napa
bal subodhini sanskrit ma vi,0,12,bal subodhini sanskrit uchha ma vi,,phungling napa
bal subodhini ma vi,0,4,bal subodhini avi,,mechinagar napa
bal sudha,2,9,,,makalu rural napa
bal sudhar panchakanya,1,1,bal sudhar pancha kanya pravi,,pauwadungma rural napa
bal sudhar,2,5,,,diktel rupakot majhuwagadhi napa
bal sushil,1,9,bal sushil pravi,,dharmadevi napa
bal vidhya ebs,2,4,bal vidhya english vi,balvidya english boarding vi,gauradaha napa
bal vidhya mandir ebs galphadiya,0,14,balbidhya mandir ebs tapeswori,,belaka napa
bala bhadra,1,4,bal bhadra avi,bal bhadra pravi,gauradaha napa
bala guru sanskrit bidhyapith,0,3,,,maijogmai rural napa
bala ma vi,0,9,bala ma vi,bala ma vi,silichong rural napa
bala yamdang ma vi,0,9,bala yamdang ma vi,,silichong rural napa
balabhadra aa vi,0,4,bal bhadra pravi,,mechinagar napa
baladevi,1,7,baladevi nimavi,,champadevi rural napa
balaguru gyan bigyan shikshya sadan,0,3,,,suryodaya napa
balbalik a,1,5,balbalik avi,,diktel rupakot majhuwagadhi napa
balbalika aa vi,0,9,balbalika pravi,,dharmadevi napa
balbalika,1,7,,,molung rural napa
balbalika  solakhani,1,9,balbalika pravi,,makalu rural napa
balbalika ebs,0,6,,,jahada rural napa
balbalika ma vi,0,5,,,sakela rural napa
balbalika,2,9,,,khandbari napa
balbalika,2,5,,,sakela rural napa
balbalika,2,5,,,diktel rupakot majhuwagadhi napa
balbatika ebs,0,4,,,mechinagar napa
balbatika ebs,0,6,,,biratnagar napa city
balbatika samudaik,1,5,samudaik bbk,,khotehang rural napa
balbidya ebs,0,6,,,sunawarshi napa
balbikas  adheri,1,7,balbikas pravi,,siddhicharan napa
balbikasha,2,5,,,diktel rupakot majhuwagadhi napa
baldebdoot bidya mandir,0,6,baldev doot vidya mandir,,rangeli napa
balden ma vi,0,12,balden ma vi,balden ma vi,mikwakhola rural napa
baldip,2,3,,,mangsebung rural napa
balhit  bhantabari,1,14,balhit pravi bhantabari,,triyuga napa
baljagaran vidhya mandir,0,6,,,pathari shanishchare napa
baljagat sisu bikas foundation,0,4,,,mechinagar napa
baljyoti,1,14,baljyoti avi badelpani,baljyoti nimavi badelpani,chaudandigadhi napa
baljyoti  kusumbot,1,14,baljyoti aa bi kusumboat,baljyoti pravi kusumboat,udayapurgadhi rural napa
baljyoti  sallery,1,9,baljyoti pravi salleri,baljyoti pravi,chainpur napa
baljyoti  ghumne chauri,2,14,,,belaka napa
baljyoti ma vi,0,3,baljyoti ma vi,,chulachuli rural napa
baljyoti ma vi,0,7,baljyoti ma vi,baljyoti ma vi,champadevi rural napa
balkalyan,1,3,balkalyan avi simle,balkalyan pravi simle,suryodaya napa
balkalyan,1,4,bal kalyan pravi,,arjundhara napa
balkalyan,1,4,bal kalyan avi,,shivasatakshi napa
balkalyan,1,6,bal kalyan avi,,miklajung rural napa
balkalyan,1,6,balkalyan nv,,miklajung rural napa
balkalyan,1,1,bal kalyan a via,bal kalyan avi,pauwadungma rural napa
balkalyan  kolbote,1,3,balkalyan pravi kolbote,,suryodaya napa
balkalyan  shikharmadi,2,14,,,belaka napa
balkalyan ma vi,0,4,bal kalyan uchha ma vi,,gauriganj rural napa
balkalyan ma vi,0,6,bal kalyan avi,,pathari shanishchare napa
balkanya,1,7,balkanya pravi,,chisankhugadhi rural napa
balkanya,1,7,balkanya pravi,,champadevi rural napa
balkanya  tatne,1,14,balkanya avi tatne,balkanya nimavi,rautamai rural napa
balkanya ma via,0,5,balkanya ma vi,,barahapokhari rural napa
balkanya  pikmire,2,14,,,belaka napa
balkanya  simle,2,14,,,triyuga napa
balkanya ma vi,0,3,bal kanya ma vi,,ilam napa
balmakar sendary vi,0,13,balmakar madyamika vi,balmakar ma vi,phedap rural napa
balmandal ma vi,0,3,bal mandal ma vi,,ilam napa
balmandir,1,7,balmandir pravi,,siddhicharan napa
balmandir ma vi bokse,0,14,balmandir ma vi bokse,,triyuga napa
balmiki ebs,0,4,,,bahradashi rural napa
balmiki education foundation ebs,0,4,,,birtamod napa
balmiki memorial boarding ma vi,0,6,balmiki memorial english boarding vi,balmiki memorial ebs,pathari shanishchare napa
balmiki,2,11,,,dharan sub napa city
balmiki ma ebs,0,6,,,biratnagar napa city
balmiki sikshya sadan,0,4,balmiki siksha sadan,,buddhashanti rural napa
balmiki singh devi,1,3,balmiki singhdevi avi,,ilam napa
balnikunja ma vi,0,4,bal nikunja ma vi,,shivasatakshi napa
balodaya,1,5,,,jantedhunga rural napa
balsadan academy,0,6,,,sundarharaincha napa
balsansar ebs,0,6,,,kanepokhari rural napa
balsansar montessori,0,11,,,ramdhuni napa
balsansar,1,4,,,birtamod napa
balsansari,1,1,balsansari pravi,,arun rural napa
balsewa,1,5,,,jantedhunga rural napa
balsudhar greeha ma vi,0,6,,,biratnagar napa city
ban jogara,1,12,ban jogara nimavi,,phungling napa
banasthali ebs,0,3,,,phakphokthum rural napa
banasthali ebs,0,6,,,dhanapalthan rural napa
banaswor,1,11,banaswor pravi,,bhokraha narsing rural napa
bandanasinghadevi,1,7,bandanasinghadevi pravi,,siddhicharan napa
bandelal ebs,0,11,,,barahkshetra napa
baneshwor,1,9,baneshwor avi,,chainpur napa
baneswor,1,9,baneswor pravi dangaligaun,baneswor pravi,chainpur napa
bani bilash ma vi,0,9,bani bilash ma vi,bani bilash ma vi,chainpur napa
bani ma vi,0,4,bani ma vi,bani ma vi,kamal rural napa
bani ma vi,0,6,bani ma vi,,gramthan rural napa
banjho gau ma vi,0,3,,,chulachuli rural napa
bar danda,1,12,bar danda pravi,,phungling napa
baraha,1,5,baraha pravi,,barahapokhari rural napa
baraha magargau,1,5,baraha magargau a vii,,barahapokhari rural napa
baraha memorial ebs,0,11,mansur memorial english vi,,barahkshetra napa
baraha montessori,0,11,,,barahkshetra napa
baraha rising star ebs,0,11,,,barahkshetra napa
