School_level_transliterated,School_name_transliterated,Potential_district_transliterated,Location_1_transliterated,Matched_District
4,adarsha,bhaktapura,sanothimi,Bhaktapur
4,balamandala,ilama,ilama na pa,Ilam
2,shri kalika devi,ilama,amachoka ratamate,Ilam
2,subhadra,ilama,phakaphoka,Ilam
2,navinapragati,ilama,,Ilam
2,janashakti,tanahu.n,,Tanahun
2,lakshmi devi,ilama,amachoka,Ilam
1,mahendrodaya,ilama,,Ilam
1,kaligandaki,tanahu.n.n,,Tanahun
1,mahadeva,tanahu.n.n,devaghata,Tanahun
3,sumbeka,ilama,,Ilam
2,siddeshvari,ilama,barabote,Ilam
1,adarsha,ilama,ilama na pa,Ilam
4,narayani namuna,chitavana,bharatapura,Chitwan
1,jana shishu kalyana,tanahu.n.n,,Tanahun
4,janaprabhata,kathamadaum,,Kathmandu
2,puvamai,ilama,,Ilam
4,nanda,ilama,ilama na pa,Ilam
4,buddha ardasha,jhapa,,Jhapa
4,varachuli,navalaparasi,devachuli va su purva,Nawalparasi
2,mahadeva,ilama,,Ilam
2,nara,ilama,,Ilam
1,hattitara,ilama,maijogamai,Ilam
1,lakshmi vidya bhavana,ilama,mai na pa,Ilam
1,nepala jyoti,ilama,namasali~na,Ilam
1,gajuramukhi,ilama,jitapura,Ilam
2,j~nanodaya,ilama,vadhahare,Ilam
2,sarasvati,ilama,samalabu~na,Ilam
2,janata,ilama,pya~nga,Ilam
1,siddhartha,ilama,,Ilam
1,rashtriya,ilama,maijogamai,Ilam
3,hamalaya,ilama,chasapani,Ilam
4,purnasmaraka,ilama,,Ilam
2,janakalyana,ilama,godaka,Ilam
4,sarasvati,ilama,vatase,Ilam
4,rashtapremi,ilama,,Ilam
3,valakanya,ilama,,Ilam
2,yuvavarsha,ilama,,Ilam
2,tribhuvana,ilama,pa~nchakanya,Ilam
1,amara jyoti,ilama,sa~narumba,Ilam
3,maheshvara,ilama,soyaka,Ilam
1,deumai,ilama,,Ilam
1,suryodaya,ilama,barabote,Ilam
1,bala kalyana,ilama,,Ilam
2,jalpa,ilama,,Ilam
1,narayana,ilama,godaka,Ilam
2,sarasvati,ilama,danabari,Ilam
1,bhagavati,ilama,jitapura,Ilam
3,jalapa,ilama,,Ilam
1,kamala devi,ilama,,Ilam
4,phalate,ilama,,Ilam
4,valamandala,ilama,,Ilam
1,valmiki simhadevi,ilama,,Ilam
4,janata,ilama,mai nagarapalika,Ilam
2,thokaphela,ilama,,Ilam
4,narayana jana,kathamadaum,machchegau.n,Kathmandu
4,vinapani,ilama,,Ilam
4,ba.njhogau.n,ilama,chulachuli,Ilam
2,siddha devi,ilama,puvamajuva,Ilam
3,siddhadeumai,ilama,chayaita,Ilam
4,dambara devi,ilama,,Ilam
4,mahendra,tanahu.n.n,,Tanahun
2,narayanachaura,tanahu.n,,Tanahun
2,salleri,ilama,,Ilam
2,janata,ilama,chamaita,Ilam
4,simhadevi,ilama,,Ilam
4,bhrrikuti,tanahu.n.n,,Tanahun
4,janasahayogi,tanahu.n.n,bhanu na pa,Tanahun
4,dullabha,gorakha,masela,Gorkha
4,jivana jyoti,gorakha,kaphalada.nda,Gorkha
1,hiramani,tanahu.n.n,,Tanahun
4,chisopani,ilama,ma~nasebu~na,Ilam
4,janata jayasavala,dhanusha,godara,Dhanusha
4,mavi,dhanusha,digambarapura,Dhanusha
4,buddhashanti,chitavana,rapti,Chitwan
4,bashahasthana,tanahu.n,,Tanahun
4,anandajyoti,kaski,pokhara,Kaski
3,lakshmi,tanahu.n,,Tanahun
1,gorakha,ilama,samalavu~nga,Ilam
2,simhaadarsha,ilama,,Ilam
4,pya~nga,ilama,pya~na kutida.nda,Ilam
2,jyoti,ilama,jogamai,Ilam
4,mahendri,tanahu.n.n,,Tanahun
4,annapurna,gorakha,,Gorkha
4,amarakalyana,ilama,maijaegamai,Ilam
4,kapiya,chitavana,kumaroja,Chitwan
4,ratnarajya,kathamadaum,baneshvara,Kathmandu
4,birendra,nuvakota,kumari,Nuwakot
1,amrrita,tanahu.n.n,,Tanahun
4,shantipura,ilama,shantipura,Ilam
2,kailasha,ilama,,Ilam
2,chanidaka,tanahu.n,,Tanahun
3,indradevi,tanahu.n,,Tanahun
2,ra,chitavana,divanagara,Chitwan
4,kaligamga,tanahu.n.n,baidi,Tanahun
1,arunodaya,ilama,shantipura,Ilam
4,balakesha,tanahu.n.n,devaghata,Tanahun
2,narayana,tanahu.n.n,simalachaura,Tanahun
2,amara,tanahu.n.n,vyasa,Tanahun
1,bhimasuna,ilama,sandakapura,Ilam
4,shivamai,ilama,naya.nbajara,Ilam
2,guru~nagaum,ilama,,Ilam
4,kankai,ilama,,Ilam
2,laligura.nsa,khota~na,,Khotang
2,kamala,tanahu.n,,Tanahun
1,krrishnalaya,tanahu.n.n,vyasa,Tanahun
4,prabodha,ilama,mabu,Ilam
1,janajyoti,khota~na,jantedhu~nga ga pa,Khotang
4,kamadhenu,kathamadaum,,Kathmandu
1,avi,dhanusha,,Dhanusha
1,gorkha kalika,tanahu.n.n,,Tanahun
1,kalika,chitavana,devaghata,Chitwan
1,parvati,khota~na,rupakota,Khotang
4,adarsha shiksha,tanahu.n.n,,Tanahun
2,chanrdodaya,tanahu.n,,Tanahun
4,prrithvi,khota~na,,Khotang
4,mahendrodaya,khota~na,halesi,Khotang
3,sarasvati,khota~na,,Khotang
2,jana vikasa,khota~na,,Khotang
0,sarasvati khota~na,Sarlahi,,Sarlahi
1,bauddha,khota~na,aiselukharka ga pa,Khotang
4,deurali,khota~na,,Khotang
4,janata,siraha,sukhipura,Siraha
2,sarasvati,tanahu.n.n,shuklagandaki na pa,Tanahun
2,shanti,tanahu.n.n,bandipura,Tanahun
4,krrishna,tanahu.n.n,gajarakota,Tanahun
2,jana kalyana,mana~na,,Manang
1,ghataveshi,gorakha,bhimasena,Gorkha
2,shikhara jyoti,gorakha,vayapani harmi,Gorkha
1,chandika,gaerakha,vu~nakota,Gorkha
3,amara,tanahu.n.n,tallo,Tanahun
2,shamkara,tanahu.n.n,vyasa,Tanahun
2,naya.n jyoti,tanahu.n.n,vyasa na pa,Tanahun
4,jaladevi,tanahu.n.n,vyasa,Tanahun
2,pelu~na,khota~na,nirmalida.nda,Khotang
4,janata,khaeta~na,halesi tuvachu~na na pa,Khotang
4,mahendra jyoti,tanahu.n.n,shishaghata,Tanahun
2,chandi niketana,khota~na,,Khotang
2,sasu niketana,khota~na,khamadada yamkha,Khotang
2,nava jyoti,Doti,,Doti
4,mahendra,tanahu.n.n,dhora bhusunapura,Tanahun
1,jaladevi,navalaparasi,va su purva,Nawalparasi
1,ratna jyoti,tanahu.n.n,,Tanahun
2,vijaya,khota~na,,Khotang
1,janata,siraha,mahadeva,Siraha
3,nimavi,khota~na,,Khotang
2,rashtiya,saptari,,Saptari
2,pashupati,tanahu.n.n,shuklagandaki,Tanahun
2,chandrodaya,tanahu.n.n,bhanu,Tanahun
4,pa~nchakoshi,parbata,,Parbat
3,sarasvati,tanahu.n.n,bhirkota,Tanahun
3,vishnu,tanahu.n,,Tanahun
4,radha damodara j~nana jyoti samskrrita,Syangja,sa.nkhara,Syangja
1,akala,tanahu.n.n,a.nbukhaireni,Tanahun
2,parvati,tanahu.n.n,,Tanahun
2,kalika,khota~na,damkhu baksila,Khotang
2,jaya sarasvati,khota~na,,Khotang
4,hanumana prasada sharada,siraha,inarva,Siraha
2,gamga jamuna,khota~na,,Khotang
2,janata,siraha,pokhariya,Siraha
1,shri janata,dhanusha,,Dhanusha
4,bhagavati dinanatha,khota~na,khota~nabajara,Khotang
1,adarsha,mora~na,sundaraharaimcha,Morang
4,mahendrodaya,khota~na,da.ndagau.n okhre,Khotang
2,jaladevi,tanahu.n.n,jamdi,Tanahun
2,satyavati,tanahu.n.n,rupakota vilauni,Tanahun
3,shahidarghama,tanahu.n,,Tanahun
2,krrishna,tanahu.n.n,ratanapura,Tanahun
4,sitapaila,kathamadau,sitapaila,Kathmandu
2,sahajivana,tanahu.n,risti,Tanahun
2,shri shantishrrrijana,tanahu.n,,Tanahun
1,padama,tanahu.n,vandipura,Tanahun
2,ravichandra,tanahu.n.n,myagde ga pa,Tanahun
4,mahendra,tanahu.n.n,raipura,Tanahun
2,shri jayaganapati,tanahu.n,,Tanahun
4,mina,tanahu.n.n,tharpu,Tanahun
4,kalika,kaski,bharatapokhari,Kaski
4,nava prabhata,kaski,naya.n bajara pokhara,Kaski
4,hamsavahini,tanahu.n,,Tanahun
4,shanti vidyagrriha,kathamadaum,lainachaura,Kathmandu
4,kalika,tanahu.n.n,bhanu na pa,Tanahun
2,samjhana,tanahu.n.n,,Tanahun
4,radha,tanahu.n.n,vi,Tanahun
1,janata,tanahu.n.n,vyasa,Tanahun
1,janajyoti,tanahu.n,devaghata si~nchya~nga,Tanahun
2,samgama,tanahu.n,,Tanahun
1,tilicho,mana~na,kha~nsara,Manang
2,paruha~na sharana,khota~na,,Khotang
2,shri janata,khota~na,,Khotang
4,udaya,tanahu.n.n,vyasa,Tanahun
4,pa~nchakanya,makavanapura,,Makwanpur
2,jalapadevi,makavanapura,,Makwanpur
3,vijaya,dolakha,,Dolakha
2,vedakalika,tanahu.n.n,,Tanahun
3,krrishnagamga,tanahu.n.n,ramjakota,Tanahun
1,kamadhenu,tanuha.n,,Dhanusha
1,bramha,navalaparasi,va su purva,Nawalparasi
2,naga,tanahu.n.n,rrishi~na ga pa,Tanahun
3,kamaghenu,tanahu.n,,Tanahun
4,jayadurga,tanahu.n,,Tanahun
2,sharada,tanahu.n.n,bhagavatipura,Tanahun
4,himalaya,tanahu.n,,Tanahun
4,jana jagrriti gamga,tanahu.n.n,vyasa na pa,Tanahun
4,siddheshvari,tanahu.n.n,kamalabari,Tanahun
4,sarasvati sadana,tanahu.n,,Tanahun
4,udaya,tanahu.n,,Tanahun
1,annapurna sitapokhari,kaski,,Kaski
1,masya~nadi samudayika,tanahu.n.n,,Tanahun
3,narayani,tanahu.n.n,varabha~njya~na,Tanahun
4,homarajalohani,tanahu.n,,Tanahun
2,naya jyoti,tanahu.n,,Tanahun
4,adarsha sarasvati,tanahu.n,,Tanahun
4,vindhyavasini,kaski,barapatana,Kaski
4,bhimanagara,chitavana,bhimanagara,Chitwan
4,bachauli,chitavana,,Chitwan
1,bha.ngeri,tanahu.n.n,bandipura,Tanahun
2,purkota,tanahu.n,,Tanahun
1,amara jyoti,tanahu.n.n,vyasa,Tanahun
4,himalaya,gorakha,ajirakota,Gorkha
2,vishvajvati,tanahu.n,,Tanahun
4,kyamina,tanahu.n.n,kyamina,Tanahun
4,gu~njanagara,chitavana,chitravana,Chitwan
4,sharada,chitavana,bharatapura mahanagarapalika sharadanagara,Chitwan
2,mahadebata,tanahu.n,,Tanahun
3,buchakhani,tanahu.n,,Tanahun
1,shukra,tanahu.n.n,vyasa na pa,Tanahun
1,siddha,tanahu.n.n,,Tanahun
2,kalika,tanahu.n,,Tanahun
1,dharma,tanahu.n.n,,Tanahun
2,udaya,tanahu.n.n,dharamapani,Tanahun
1,bhairava,tanahu.n.n,bandipura,Tanahun
2,janajagrriti,tanahu.n,,Tanahun
4,shiva,navalaparasi,shivavasti,Nawalparasi
4,satyavati,tanahu.n.n,damauli,Tanahun
4,bhavani rashtriya,kailali,,Kailali
4,galkota,Syangja,,Syangja
2,barahi,tanahu.n.n,shuklagandaki,Tanahun
4,vidya niku~nja,tanahu.n.n,bhanu na pa,Tanahun
4,sarasvati,tanahu.n.n,sabhu~na,Tanahun
2,dipaka,tanahu.n,,Tanahun
4,parvati,tanahu.n.n,devaghata,Tanahun
4,nirmala,tanahu.n.n,vyasa,Tanahun
1,chandi devi,tanahu.n,,Tanahun
4,adarsha shiksha pra,tanahu.n,,Tanahun
4,shahida gamga,tanahu.n.n,ka.nhu shivapura,Tanahun
2,bhashkara,tanahu.n.n,,Tanahun
2,kalyana devi,tanahu.n.n,,Tanahun
3,pragati,navalaparasi,,Nawalparasi
4,janajyoti,navalaparasi,va su pashchima,Nawalparasi
2,gadibha~njya,tanahu.n,,Tanahun
2,a.ndi barahi,tanahu.n,vandipura,Tanahun
1,chabdi varahi,tanahu.n.n,,Tanahun
2,janasevika,tanahu.n.n,vyasa,Tanahun
2,ravichandra,tanahu.n,,Tanahun
2,vedavyasa,tanahu.n.n,vyasa,Tanahun
2,mahendrajyoti,tanahu.n.n,thapreka,Tanahun
4,rashtriya,tanahu.n,rupakota,Tanahun
