school_id,school_1,school_id_B,name,district_id,district_id,Matched_District,root_school_name,School_name_transliterated,School_level,school_levels,School_name,Fuzzy_match_score,Match_Type
70,विद्याधरी प्रावि रामप्रसादराई गा पा भोजपुर,1992,buddha pra v,1,1,bhojpur,buddha,vidyadhari,प्रावि,pravi,विद्याधरी,2.0,"District: complete, School level: complete, Root name: partial"
71,देवीथान मावि आम्तेक भोजपुर,11328,devistan  pra v,1,10,bhojpur,devistan,devithana,मावि,pravi,देवीथान,2.0,"District: no match, School level: no match, Root name: complete"
72,अमरज्योति प्रावि शुक्लागन्डकी तनहुँं,475,amar jyoti pra v,46,46,tanahun,amar jyoti,amarajyoti,प्रावि,pravi,अमरज्योति,3.0,"District: complete, School level: complete, Root name: complete"
73,वरभन्ज्या निमावि इलाम,1167,amlise bhanjyang basic school,3,3,ilam,amlise bhanjyang,varabhanjya,निमावि,avi,वरभन्ज्या,1.5,"District: complete, School level: no match, Root name: partial"
74,नल देवी प्रावि तनहुँ,41602,jal devi pra v,46,46,tanahun,jal devi,nala devi,प्रावि,pravi,नल देवी,3.0,"District: complete, School level: complete, Root name: complete"
75,धर्म मावि भिमाद तनहुँँ,2462,basic school dharmapur,46,19,tanahun,dharmapur,dharma,मावि,avi,धर्म,2.0,"District: no match, School level: no match, Root name: complete"
77,बुद्ध मावि इलाम,1583,bauddha basic school,3,3,ilam,bauddha,buddha,मावि,avi,बुद्ध,2.5,"District: complete, School level: no match, Root name: complete"
76,मिक्लाचो मावि इलाम,12933,kailash basic school,3,3,ilam,kailash,miklacho,मावि,avi,मिक्लाचो,1.5,"District: complete, School level: no match, Root name: partial"
78,रत्न देवी आवि गजुरमुखी ईलाम,11640,ganga devi basic school,3,3,ilam,ganga devi,ratna devi,आवि,avi,रत्न देवी,3.0,"District: complete, School level: complete, Root name: complete"
79,गजुरमुखी आवि इलाम,11605,gajurmukhi basic school,3,3,ilam,gajurmukhi,gajuramukhi,आवि,avi,गजुरमुखी,3.0,"District: complete, School level: complete, Root name: complete"
80,जालपा प्रावि अरुण भोजपुर,12258,jalpa pra v,1,1,bhojpur,jalpa,jalapa,प्रावि,pravi,जालपा,3.0,"District: complete, School level: complete, Root name: complete"
81,सिंहेश्वरी आवि इलाम,12207,jaleswari basic school,3,3,ilam,jaleswari,simheshvari,आवि,avi,सिंहेश्वरी,2.0,"District: complete, School level: complete, Root name: partial"
82,सिद्धि विनायक प्रावि सुम्बेक इलाम,16666,siddhi binayak pra v,3,3,ilam,siddhi binayak,siddhi vinayaka,प्रावि,pravi,सिद्धि विनायक,3.0,"District: complete, School level: complete, Root name: complete"
83,दोभान प्रावि इलाम,71044,doblanga pra v,3,73,ilam,doblanga,dobhana,प्रावि,pravi,दोभान,2.5,"District: no match, School level: complete, Root name: complete"
84,देवी प्रावि इलाम,11321,devi pra v,3,3,ilam,devi,devi,प्रावि,pravi,देवी,3.0,"District: complete, School level: complete, Root name: complete"
85,इरौंटार आवि रोङ गा पा इलाम,140,adarsha basic school,3,3,ilam,adarsha,iraumtara,आवि,avi,इरौंटार,2.0,"District: complete, School level: complete, Root name: partial"
86,विद्या प्रावि इलाम,1816,bidya basic school,3,3,ilam,bidya,vidya,प्रावि,avi,विद्या,2.5,"District: complete, School level: no match, Root name: complete"
87,महेश्वरा प्रावि निन्दाखु साेयाक इलाम,13775,maheshwara basic school,3,3,ilam,maheshwara,maheshvara,प्रावि,avi,महेश्वरा,2.5,"District: complete, School level: no match, Root name: complete"
89,भगवती मावि गोलाखर्क इलाम,1634,bhagawati basic school,3,3,ilam,bhagawati,bhagavati,मावि,avi,भगवती,2.5,"District: complete, School level: no match, Root name: complete"
88,विक्री प्रावि इलाम,11327,devismrity pra v,3,3,ilam,devismrity,vikri,प्रावि,pravi,विक्री,2.0,"District: complete, School level: complete, Root name: partial"
90,देउराली प्रावि जितपुर इलाम,11294,deurali  primary school,3,2,ilam,deurali,deurali,प्रावि,pravi,देउराली,2.5,"District: no match, School level: complete, Root name: complete"
91,आदर्श प्रावि फिक्कल इलाम,140,adarsha basic school,3,3,ilam,adarsha,adarsha,प्रावि,avi,आदर्श,2.5,"District: complete, School level: no match, Root name: complete"
92,आदर्श मावि इलाम,140,adarsha basic school,3,3,ilam,adarsha,adarsha,मावि,avi,आदर्श,2.5,"District: complete, School level: no match, Root name: complete"
93,नेपालटार मावि साखेजुङ इलाम,42831,nepal aama primary school,3,36,ilam,nepal aama,nepalatara,मावि,pravi,नेपालटार,2.0,"District: no match, School level: no match, Root name: complete"
94,दृपादवी प्रावि इलाम,11463,dripa devi basic school,3,3,ilam,dripa devi,drripadavi,प्रावि,avi,दृपादवी,2.5,"District: complete, School level: no match, Root name: complete"
95,पशुपति कन्या मन्दिर मावि दोलखा,34943,pashupati kanya mandir secondary school,32,32,dolakha,pashupati kanya mandir ma vi,pashupati kanya mandira,मावि,,पशुपति कन्या मन्दिर,2.5,"District: complete, School level: no match, Root name: complete"
96,नव ज्योती आवि इलाम,12360,jana jyoti basic school,3,3,ilam,jana jyoti,nava jyoti,आवि,avi,नव ज्योती,3.0,"District: complete, School level: complete, Root name: complete"
97,भगवती मावि इलाम,1634,bhagawati basic school,3,3,ilam,bhagawati,bhagavati,मावि,avi,भगवती,2.5,"District: complete, School level: no match, Root name: complete"
98,भगवती मावि धुसेनी इलाम,1634,bhagawati basic school,3,3,ilam,bhagawati,bhagavati,मावि,avi,भगवती,2.5,"District: complete, School level: no match, Root name: complete"
99,हिमाली मावि पृथ्वीनगर झापा,21148,himal basic school,4,16,jhapa,himal,himali,मावि,avi,हिमाली,2.0,"District: no match, School level: no match, Root name: complete"
100,महेन्द्र रत्न मावि विर्तामोड झापा,13743,mahendra ratna secondary school,4,4,jhapa,mahendra ratna ma vi,mahendra ratna,मावि,,महेन्द्र रत्न,2.5,"District: complete, School level: no match, Root name: complete"
101,कालीका मावि बि तनहुँ,42082,kalika basic school,46,46,tanahun,kalika,kalika,मावि,avi,कालीका,2.5,"District: complete, School level: no match, Root name: complete"
103,लक्ष्मी नारायण्ा प्रावि भोजपुर,13390,laxmi narayan basic school,1,1,bhojpur,laxmi narayan,lakshmi narayana,प्रावि,avi,लक्ष्मी नारायण्ा,2.5,"District: complete, School level: no match, Root name: complete"
102,सिद्धमहाकाली मावि तनहुँँ,16585,siddha kali  basic school,46,6,tanahun,siddha kali,siddhamahakali,मावि,avi,सिद्धमहाकाली,2.0,"District: no match, School level: no match, Root name: complete"
105,जाल्पा प्रावि सानेदुम्मा भोजपुर,12258,jalpa pra v,1,1,bhojpur,jalpa,jalpa,प्रावि,pravi,जाल्पा,3.0,"District: complete, School level: complete, Root name: complete"
104,रचना प्रावि भोजपुर,14905,rachana basic school,1,1,bhojpur,rachana,rachana,प्रावि,avi,रचना,2.5,"District: complete, School level: no match, Root name: complete"
