school_id,school,school_1,School_level,School_name,Location,Matched_district,Match_percent,Location_1
67,"पञ्चकन्या प्राथमिक विद्यालय पौवादुङमा गा॰पा॰, भोजपुर",पञ्चकन्या प्रावि पौवादुङमा गा पा भोजपुर,प्रावि,पञ्चकन्या,पौवादुङमा गा पा भोजपुर,भोजपुर,100,पौवादुङमा गा पा
68,"अमर ज्योती प्राथमिक विद्यालय, क्यामुनडाँडा झिरुबास, तनहुँ",अमर ज्योती प्रावि क्यामुनडाँडा झिरुबास तनहुँँ,प्रावि,अमर ज्योती,क्यामुनडाँडा झिरुबास तनहुँ,तनहुँ,100,क्यामुनडाँडा झिरुबास
69,"जन कल्याण आधारभूत विद्यालय, लक्ष्मीपुर -५, इलाम",जन कल्याण आवि लक्ष्मीपुर इलाम,आवि,जन कल्याण,लक्ष्मीपुर इलाम,इलाम,100,लक्ष्मीपुर
70,"विद्याधरी प्राथमिक विद्यालय रामप्रसादराई गा॰पा॰, भोजपुर",विद्याधरी प्रावि रामप्रसादराई गा पा भोजपुर,प्रावि,विद्याधरी,रामप्रसादराई गा पा भोजपुर,भोजपुर,100,रामप्रसादराई गा पा
71,देवीथान माध्यमिक विधालय आम्तेक भोजपुर,देवीथान मावि आम्तेक भोजपुर,मावि,देवीथान,आम्तेक भोजपुर,भोजपुर,100,आम्तेक
72,"अमरज्योति प्राथमिक विद्यालय, शुक्लागन्डकी, तनहुं",अमरज्योति प्रावि शुक्लागन्डकी तनहुँं,प्रावि,अमरज्योति,शुक्लागन्डकी तनहुँ,तनहुँ,100,शुक्लागन्डकी
73,"वरभन्ज्या नि॰मा॰वि॰, इलाम",वरभन्ज्या निमावि इलाम,निमावि,वरभन्ज्या,इलाम,इलाम,100,
74,"नल देवी प्रा बि, तनहु",नल देवी प्रावि तनहुँ,प्रावि,नल देवी,तनहुँ,तनहुँ,100,
75,"धर्म माध्यमिक विधालय भिमाद, तनहुँ",धर्म मावि भिमाद तनहुँँ,मावि,धर्म,भिमाद तनहुँ,तनहुँ,100,भिमाद
76,"मिक्लाचो मा॰वि॰, इलाम",मिक्लाचो मावि इलाम,मावि,मिक्लाचो,इलाम,इलाम,100,
77,"बुद्ध माध्यमिक विद्यालय, इलाम",बुद्ध मावि इलाम,मावि,बुद्ध,इलाम,इलाम,100,
78,"रत्न देवी आधारभूत विद्यालय, गजुरमुखी, ईलाम",रत्न देवी आवि गजुरमुखी ईलाम,आवि,रत्न देवी,गजुरमुखी ईलाम,इलाम,75,गजुरमुखी ईलाम
79,"गजुरमुखी आधारभूत विद्यालय, इलाम",गजुरमुखी आवि इलाम,आवि,गजुरमुखी,इलाम,इलाम,100,
80,"जालपा प्राथमिक विद्यालय अरुण, भोजपुर",जालपा प्रावि अरुण भोजपुर,प्रावि,जालपा,अरुण भोजपुर,भोजपुर,100,अरुण
81,"सिंहेश्वरी आधारभूत विद्यालय, इलाम",सिंहेश्वरी आवि इलाम,आवि,सिंहेश्वरी,इलाम,इलाम,100,
82,"सिद्धि विनायक प्राथमिक विधालय, सुम्बेक इलाम",सिद्धि विनायक प्रावि सुम्बेक इलाम,प्रावि,सिद्धि विनायक,सुम्बेक इलाम,इलाम,100,सुम्बेक
83,"दोभान प्रा॰वि॰, इलाम",दोभान प्रावि इलाम,प्रावि,दोभान,इलाम,इलाम,100,
84,"देवी प्रा॰वि॰, इलाम",देवी प्रावि इलाम,प्रावि,देवी,इलाम,इलाम,100,
85,"इरौंटार आधारभूत विद्यालय रोङ गा॰पा॰, इलाम",इरौंटार आवि रोङ गा पा इलाम,आवि,इरौंटार,रोङ गा पा इलाम,इलाम,100,रोङ गा पा
86,"विद्या प्रा॰वि॰, इलाम",विद्या प्रावि इलाम,प्रावि,विद्या,इलाम,इलाम,100,
