school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
936,pani,nimavi,jhapa,
937,janakalyana rudrahari,mavi,sunsari,
939,bharaleka,mavi,doti,
941,radhanagara,pravi,jhapa,
942,sadhuprarti,pravi,jhapa,
944,himalaya,pravi,kailali,
949,jana prabhata,mavi,kathmandu,
952,shri,nimavi,sunsari,
953,sunuri shiksha sadana sunasari,,sunsari,
954,shanischare,nimavi,jhapa,
957,,mavi,kailali,
960,navadurga,pravi,doti,
962,yuva svamyam sevi,pravi,gulmi,
965,gamga,pravi,gulmi,
967,shamkara,pravi,gulmi,
972,jyoti,pravi,doti,
975,resumga,pravi,gulmi,
980,deveshvara,avi,doti,
982,janajyoti,mavi,jhapa,
986,mehela pokhari,pravi,gulmi,
989,kaleshvari,nimavi,lalitpur,
991,himalaya,pravi,doti,
992,deukhala,pravi,doti,
996,ekasim,nimavi,gulmi,
1002,shivanagara,mavi,sunsari,
1005,satyavati,pravi,gulmi,
1006,chapahile gulmi,,gulmi,
1008,namuna,pravi,lalitpur,
1009,janajagrriti,pravi,lalitpur,
1010,virendrodaya,mavi,solukhumbu,
1011,namche,pravi,solukhumbu,
1013,amaradipa,pravi,gulmi,
1016,upallotamghasa,mavi,gulmi,
1017,durgadebi,pravi,doti,
1020,bhairavapura,pravi,gulmi,
1021,sa.njhapura,pravi,taplejung,
1025,,avi,chitwan,
1028,ne ra,pravi,gulmi,
1030,ne ra,nimavi,gulmi,
1031,tribhuvana,pravi,kailali,
1032,ra,pravi,kailali,
1034,sarasvati,nimavi,kailali,
1038,chulimalika,mavi,kalikot,
1039,sitapura,nimavi,gulmi,
1040,janajyoti,nimavi,gulmi,
1041,gvadi,mavi,gulmi,
1042,pa~nchayana samskrrita,mavi,gulmi,
1044,thanapati,nimavi,gulmi,
1048,buddha,mavi,gulmi,
1049,shrrrijana,pravi,gulmi,
1050,khadha,nimavi,gulmi,
1051,sharada,nimavi,gulmi,
1054,jivanoddhara,mavi,gulmi,
1059,ka~nchanaja~nga,pravi,jhapa,
1060,valabhadra,pravi,jhapa,
1064,lubhu,mavi,lalitpur,
1065,chandeshvari,mavi,lalitpur,
1066,salle,pravi,udayapur,
1067,harideva,avi,morang,
1068,saradashiksha sadana,nimavi,lalitpur,
1072,ne ra,nimavi,gulmi,
1073,siddhababa,pravi,kailali,
1076,vala,avi,lalitpur,
1077,manikhela,pravi,lalitpur,
1081,kodari pokhari,pravi,gulmi,
1084,ne ra,avi,mahottari,
1090,bhareka,nimavi,gulmi,
1095,mahadeshvara,pravi,doti,
1097,tribhuvana,nimavi,jhapa,
1100,bhashyamandau,mavi,doti,
1101,sarasvati,nimavi,jhapa,
1102,janajyoti,nimavi,jhapa,
1103,phundruva,avi,taplejung,
1105,dipaka,pravi,jhapa,
1111,,mavi,jhapa,
1112,ghodamara,pravi,jhapa,
1118,rashtiya,avi,chitwan,
1119,brammajyoti,avi,chitwan,
1120,devi,avi,jhapa,
1125,kanakai,mavi,jhapa,
1127,narayanajyoti,avi,ilam,
1128,ka.nkadabhitta,pravi,jhapa,
1130,pamchami,pravi,achham,
1132,bamsabari,nimavi,jhapa,
1134,bhagavati sthana,avi,doti,
1135,dipaka,pravi,jhapa,
1138,yuva,avi,ilam,
1139,sidda devi,pravi,ilam,
1141,sadiksha,pravi,doti,
1142,adarsha,nimavi,kailali,
1144,,nimavi,myagdi,
1146,dhanagadhi namuna,pravi,kailali,
1147,ra,pravi,sunsari,
1149,pamchamata,pravi,panchthar,
1150,shri,pravi,sunsari,
1151,rashtriya sharada,avi,sunsari,
1152,simhadevi,nimavi,jhapa,
1154,rabdi,pravi,doti,
1155,janata,mavi,siraha,
1156,shiddha devi,pravi,jhapa,
1163,bhuvaneshvari,avi,doti,
1166,ganesha,nimavi,doti,
1167,bhumeshvara,pravi,doti,
1168,bhageshvara,pravi,doti,
1170,bharatoli,pravi,doti,
