school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
26993,15396,sarasvati,saraswati,pravi,pravi,sarlahi,sankhuwasabha,2.5,"District: no match, School level: complete, Root name: complete"
26994,13365,lakshmi,laxmi,avi,pravi,taplejung,taplejung,1.5,"District: complete, School level: no match, Root name: partial"
26995,14674,piyusharaja,pathibhara,avi,avi,kapilbastu,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
26998,11693,kolachaura,ghodamara,avi,avi,okhaldhunga,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
27000,55272,kevala,katuwa,avi,avi,kapilbastu,kapilbastu,2.0,"District: complete, School level: complete, Root name: partial"
26999,1801,siddhamalika,bidya bikash,avi,avi,dailekh,morang,1.5,"District: no match, School level: complete, Root name: partial"
27001,612,redakrasa,adarsha ni,mavi,mavi,dailekh,dailekh,2.0,"District: complete, School level: complete, Root name: partial"
27002,13155,katu~nje,katunje,mavi,avi,okhaldhunga,sankhuwasabha,2.0,"District: no match, School level: no match, Root name: complete"
27003,51286,dilleshvari,dilleswor  harigatina,avi,avi,rolpa,rolpa,2.0,"District: complete, School level: complete, Root name: partial"
27004,14431,nepala chartara,pancha kanya,avi,avi,kathmandu,khotang,1.5,"District: no match, School level: complete, Root name: partial"
27006,36541,kalika,kalika,avi,avi,dailekh,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
27008,61118,j~nanajyoti,jana jyoti,mavi,mavi,okhaldhunga,jumla,2.5,"District: no match, School level: complete, Root name: complete"
27009,63044,vadabhairava,bhairab  daha,avi,avi,dailekh,dailekh,2.0,"District: complete, School level: complete, Root name: partial"
27010,1939,rama da.nda mahadeva,bramhadev uranw mandela smriti,pravi,pravi,dailekh,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
27012,12949,namli,kalika,nimavi,nimavi,rolpa,okhaldhunga,1.5,"District: no match, School level: complete, Root name: partial"
27014,111,janasakriya,hardiya,avi,avi,ramechhap,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
27015,11879,mahalakshmi,hangshabahini,pravi,pravi,dailekh,tehrathum,1.5,"District: no match, School level: complete, Root name: partial"
27017,55287,bageshvari,shree bageswari,avi,avi,rolpa,rolpa,2.0,"District: complete, School level: complete, Root name: partial"
27021,1314,vidya jagata janata,baijanath baijani,pravi,pravi,sarlahi,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
27024,73321,rashtriya,rastriya,pravi,pravi,rolpa,kailali,2.5,"District: no match, School level: complete, Root name: complete"
27025,32799,jana jagarana,jana jagaran,pravi,pravi,rolpa,sindhuli,2.5,"District: no match, School level: complete, Root name: complete"
27028,71991,karavira,kalika,avi,avi,bajhang,bajhang,2.0,"District: complete, School level: complete, Root name: partial"
27026,15885,vishvashanti kshetra,shivashakti,pravi,pravi,rolpa,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
27029,73321,rashtiya,rastriya,mavi,pravi,kailali,kailali,2.5,"District: complete, School level: no match, Root name: complete"
27033,61188,ne ra,jana priya,pravi,pravi,dailekh,dailekh,2.0,"District: complete, School level: complete, Root name: partial"
27034,36541,kalika,kalika,avi,avi,dailekh,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
27037,31748,dugdheshvara,dugdheshwor,mavi,mavi,kavrepalanchok,kavrepalanchok,2.0,"District: complete, School level: complete, Root name: partial"
27038,24421,kanya,kanya,pravi,pravi,syangja,parsa,2.5,"District: no match, School level: complete, Root name: complete"
27039,1181,pa~nchamula,anarmani,pravi,pravi,syangja,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
27040,53823,namuna,namuna,avi,avi,baglung,gulmi,2.5,"District: no match, School level: complete, Root name: complete"
27042,14645,phiraphire,pathibhara  ajingare,pravi,pravi,syangja,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
27043,6470,virendra,birendra,pravi,pravi,syangja,jajarkot,2.5,"District: no match, School level: complete, Root name: complete"
27044,43900,janajagrriti,jana jagriti,avi,avi,nawalparasi,kaski,2.5,"District: no match, School level: complete, Root name: complete"
27045,4593,bhumre,bhume,mavi,avi,syangja,baglung,2.0,"District: no match, School level: no match, Root name: complete"
