school_id,district,modified_name,modified_name_school_level,modified_name_root,modified_old_name1,modified_old_name1_school_level,modified_old_name1_root,modified_old_name2,modified_old_name2_school_level,modified_old_name2_root,district
1152,panchthar,amarpur mavi,mavi,amarpur,amarpur mavi,mavi,amarpur,,,,panchthar
1153,sankhuwasabha,amarsingh avi,avi,amarsingh,,,,,,,sankhuwasabha
1154,taplejung,amarsmriti avi,avi,amarsmriti,amarsmriti pravi,pravi,amarsmriti,,,,taplejung
1155,sankhuwasabha,amaruwa mavi,mavi,amaruwa,,,,,,,sankhuwasabha
1156,morang,ambar avi,avi,ambar,ambar avi,avi,ambar,ambar pravi,pravi,ambar,morang
1157,taplejung,ambassador english boarding school,,ambassador english boarding school,,,,,,,taplejung
1158,udayapur,ambebar janta mavi,mavi,ambebar janta,ambebar janata mavi,mavi,ambebar janata,,,,udayapur
1159,taplejung,ambegudin avi,avi,ambegudin,ambegudin avi,avi,ambegudin,ambegudin pravi,pravi,ambegudin,taplejung
1160,taplejung,ambegudin mavi,mavi,ambegudin,aambegudin mavi,mavi,aambegudin,ambegudin mavi,mavi,ambegudin,taplejung
1161,taplejung,ambika avi,avi,ambika,ambika nimavi,nimavi,ambika,,,,taplejung
1162,jhapa,ambition academy,,ambition academy,jupiter ebs,,jupiter ebs,,,,jhapa
1163,taplejung,ambote avi,avi,ambote,ambote pravi,pravi,ambote,,,,taplejung
1164,morang,amity international school,,amity international school,,,,,,,morang
1165,jhapa,amity public school,,amity public school,amity public ebs,,amity public ebs,,,,jhapa
1166,jhapa,amity mavi,mavi,amity,adarsha sishu ebs,,adarsha sishu ebs,,,,jhapa
1167,ilam,amlise bhanjyang avi,avi,amlise bhanjyang,amlise bhanjyang avi,avi,amlise bhanjyang,amlise bhanjyang pravi,pravi,amlise bhanjyang,ilam
1168,ilam,amlishe pravi,pravi,amlishe,amlishe pravi,pravi,amlishe,,,,ilam
1169,morang,amma academy,,amma academy,,,,,,,morang
1170,solukhumbu,amrash avi,avi,amrash,,,,,,,solukhumbu
1171,jhapa,amrit mavi,mavi,amrit,amrit avi,avi,amrit,,,,jhapa
1172,panchthar,amrit avi,avi,amrit,amrit avi,avi,amrit,amrit pravi,pravi,amrit,panchthar
1173,ilam,amrit english boarding school,,amrit english boarding school,amrit ebs,,amrit ebs,,,,ilam
1174,sunsari,amurt academy,,amurt academy,,,,,,,sunsari
1175,morang,ananda pravi,pravi,ananda,,,,,,,morang
1176,okhaldhunga,anandeshwar avi,avi,anandeshwar,anandeshwar pravi,pravi,anandeshwar,,,,okhaldhunga
1177,morang,ananta pravi,pravi,ananta,,,,,,,morang
1178,morang,ananta pravi,pravi,ananta,,,,,,,morang
1179,sunsari,ananta sikshya jyoti pravi,pravi,ananta sikshya jyoti,,,,,,,sunsari
1180,morang,anantajyoti vidhya mandir ebs,,anantajyoti vidhya mandir ebs,,,,,,,morang
1181,jhapa,anarmani avi,avi,anarmani,anarmani avi,avi,anarmani,anarmani pravi,pravi,anarmani,jhapa
1182,jhapa,anarmani liberty school,,anarmani liberty school,,,,,,,jhapa
1183,taplejung,andheri avi,avi,andheri,andheri pravi,pravi,andheri,,,,taplejung
1184,jhapa,angel academy,,angel academy,,,,,,,jhapa
1185,jhapa,angelica academy,,angelica academy,anjelika acadamy,,anjelika acadamy,,,,jhapa
1186,sunsari,angels kindergarten,,angels kindergarten,,,,,,,sunsari
1187,taplejung,angepa avi,avi,angepa,angepa nimavi,nimavi,angepa,,,,taplejung
1188,dhankuta,anibarya nisulka avi takure,avi,anibarya nisulka  takure,anibarya nisulka avi,avi,anibarya nisulka,anibarya nisulka pravi,pravi,anibarya nisulka,dhankuta
1189,dhankuta,aniwarya nisulka avi,avi,aniwarya nisulka,aniwarya nisulka avi sahidbhumi dhankuta,avi,aniwarya nisulka  sahidbhumi dhankuta,aniwarya nisulka nimavi,nimavi,aniwarya nisulka,dhankuta
1190,dhankuta,aniwarya nisulka avi,avi,aniwarya nisulka,aniwarya nisulka nimavi,nimavi,aniwarya nisulka,,,,dhankuta
1191,dhankuta,aniwarya nisulka mavi,mavi,aniwarya nisulka,aniwarya nisulka mavi,mavi,aniwarya nisulka,aniwarya nisulka mavi sahidbhumi dhankuta,mavi,aniwarya nisulka  sahidbhumi dhankuta,dhankuta
1192,morang,annapurna academy morang,,annapurna academy morang,annapurna academy,,annapurna academy,,,,morang
1193,sunsari,annapurna academy p v t ltd,,annapurna academy p v t ltd,,,,,,,sunsari
1194,sankhuwasabha,annapurna avi,avi,annapurna,annapurna pravi,pravi,annapurna,,,,sankhuwasabha
1195,udayapur,annapurna avi bhalupakwan,avi,annapurna  bhalupakwan,annapurna pravi bhalupakwan,pravi,annapurna  bhalupakwan,,,,udayapur
1196,udayapur,annapurna avi bajagara,avi,annapurna  bajagara,annapurna pravi bajagara,pravi,annapurna  bajagara,,,,udayapur
1197,morang,annapurna english school,,annapurna english school,annapurna english boarding school,,annapurna english boarding school,annapurna english boarding school ratuwamai morang,,annapurna english boarding school ratuwamai morang,morang
1198,morang,annapurna english boarding school,,annapurna english boarding school,annapurna ebs,,annapurna ebs,,,,morang
1199,khotang,annapurna mavi,mavi,annapurna,annapurna mavi,mavi,annapurna,,,,khotang
1200,udayapur,annapurna pravi balapipaldanda,pravi,annapurna  balapipaldanda,,,,,,,udayapur
1201,udayapur,annapurna pravi dandagaun,pravi,annapurna  dandagaun,,,,,,,udayapur
1202,tehrathum,annapurna mavi english boarding school myanglung tehrathum,mavi,annapurna  english boarding school myanglung tehrathum,,,,,,,tehrathum
1203,dhankuta,annapurna mavi,mavi,annapurna,annapurna mavi,mavi,annapurna,,,,dhankuta
1204,dhankuta,annapurna mavi,mavi,annapurna,annapurna mavi,mavi,annapurna,annapurna mavi,mavi,annapurna,dhankuta
1205,udayapur,annapurna mavi,mavi,annapurna,merry brood english boarding school jaljale,,merry brood english boarding school jaljale,,,,udayapur
