school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
5894,73782,sharada,sharada,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5896,55839,shukra,shukra,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
5897,74060,mahakali janaseva,shree mahakali janasewa,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5899,1402,balamandira,bal mandir,avi,avi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5900,15280,samre,samre,avi,avi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5905,11958,himalaya,himalaya,avi,avi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
5906,14157,narayani,narayani,mavi,mavi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5908,71208,ganesha,ganesh,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5915,32905,janata,janata,mavi,mavi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
5916,15007,ra~ncha,rancha,pravi,pravi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5921,43177,rama,ram,avi,avi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
5924,16581,siddhadevi,siddha devi,mavi,mavi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
5931,11373,dharmadevi,dharma devi,avi,avi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
5937,542,adarsha,adarsh,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
5939,14164,narkela,narkel,avi,avi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5940,42214,khelne pokhari,khelne pokhari,pravi,pravi,parbat,parbat,3.0,"District: complete, School level: complete, Root name: complete"
5943,1549,aruna,barun,avi,avi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
5948,72295,krrishna,krishna,mavi,mavi,kanchanpur,kanchanpur,3.0,"District: complete, School level: complete, Root name: complete"
5949,72569,malikarjuna,malika arjun,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5957,15742,shanti,shanti,avi,avi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5961,12446,janasudhara,jana sudhar,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
5965,15382,sarasvati,saraswati,avi,avi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5967,13071,kalyanakari,kalyankari,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5968,74274,simhanatha,siddhanath,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
5973,53555,mahendra,mahendra,mavi,mavi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
5974,55997,shishukalyana,sishukalayan,avi,avi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
5975,53556,mahendra,mahendra,mavi,mavi,pyuthan,pyuthan,3.0,"District: complete, School level: complete, Root name: complete"
5976,12578,jana seva,janasewa,pravi,pravi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5977,16900,shishuraksha,sishu rakshya,pravi,pravi,sankhuwasabha,sankhuwasabha,3.0,"District: complete, School level: complete, Root name: complete"
5978,13733,mahendra,mahendra,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
5980,23882,samudayika,samudayik,pravi,pravi,sarlahi,sarlahi,3.0,"District: complete, School level: complete, Root name: complete"
5982,11732,golmadevi,golmadevi,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
5984,13020,kalika,kalika,pravi,pravi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
5988,186,,,avi,avi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
5991,54425,prabhata,prabhat,mavi,mavi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
5993,12727,janata,janata,pravi,pravi,tehrathum,tehrathum,3.0,"District: complete, School level: complete, Root name: complete"
5996,31220,buddhalaya,buddhalaya,avi,avi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
5997,33151,malika,kalika,avi,avi,ramechhap,ramechhap,3.0,"District: complete, School level: complete, Root name: complete"
6006,71253,gaurishamkara,gauri shankar,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
6013,1152,amarapura,amarpur,mavi,mavi,panchthar,panchthar,3.0,"District: complete, School level: complete, Root name: complete"
6015,15009,ra.ngadipa,rangadip,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
6016,15874,shivaduti,shivaduti,mavi,mavi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
6022,32088,golmadevi,golma devi,pravi,pravi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
6023,31311,chandeshavara,chandeshwari,mavi,mavi,kavrepalanchok,kavrepalanchok,3.0,"District: complete, School level: complete, Root name: complete"
6024,74477,tamairaja,tamai raj,pravi,pravi,darchula,darchula,3.0,"District: complete, School level: complete, Root name: complete"
6025,53993,nepala rashtriya,nepal rastriya,avi,avi,banke,banke,3.0,"District: complete, School level: complete, Root name: complete"
6027,1370,balakalyana,bal kalyan,avi,avi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
6028,54883,sarasvati,saraswati,avi,avi,arghakhanchi,arghakhanchi,3.0,"District: complete, School level: complete, Root name: complete"
6029,12728,janata,janata,pravi,pravi,tehrathum,tehrathum,3.0,"District: complete, School level: complete, Root name: complete"
