school_id_B,root_school_name_B,school_level_B,root_school_old_name1_B,root_school_old_name2_B,school_level_old_name2_B,school_level_old_name1_B,district_B,Fuzzy_match_score
31433,chitmare,avi,chitmare,,,avi,nuwakot,
31434,chitra durga ebs,,,,,,kathmandu,
31435,chitra kumari,pravi,,,,,lalitpur,
31436,chitrakali,avi,chitrakali,,,pravi,chitwan,
31437,chitram  mechchhekong,avi,chitram,,,pravi,chitwan,
31438,chitrapur,avi,chitrapur,,,pravi,bhaktapur,
31439,chitrasen  bharatpur,avi,chitrasen,,,pravi,chitwan,
31440,chitrawan,mavi,chitrawan  academy,,,mavi,chitwan,
31441,chitre,mavi,chitre,chitre ni v,,mavi,dolakha,
31442,chitre,avi,chitre,,,pravi,dolakha,
31443,chitre,pravi,,,,,sindhupalchok,
31444,chitwan english  bharatpur,mavi,chitwan english,chitwan ebs,,mavi,chitwan,
31445,chitwan irish ebs,,,,,,chitwan,
31446,chitwan  bharatpur,mavi,chitwan,,,mavi,chitwan,
31447,chitwan shikshya sadan bharatpur,,chitwan sikshya sadan baratpur,chitwan sikshya sadan,,,chitwan,
31448,chiuri bhanjyang,avi,chure bhanjyang,,,pravi,dhading,
31449,choina bina guru ganesh,pravi,,,,,lalitpur,
31450,chotidanda,pravi,,,,,lalitpur,
31451,christian samudaik school,,,,,,kathmandu,
31452,chuli danda,pravi,,,,,dolakha,
31453,chuli devi,mavi,chuli devi,,,mavi,dhading,
31454,chunadevi,mavi,chunadevi  vidyalaya,chunadevi,mavi,mavi,bhaktapur,
31455,chundevi,avi,,,,,kathmandu,
31456,chundevi,avi,chundevi,,,pravi,kathmandu,
31457,chundevi,mavi,chundevi,,,mavi,kathmandu,
31458,chunidevi siksha mandir,avi,chunidevi sikshya mandir,,,nimavi,lalitpur,
31459,churemata,avi,churemata,,,pravi,sindhuli,
31460,chwadi public,mavi,chwadi public,,,mavi,nuwakot,
31461,chyamra devi,mavi,chyamra devi,,,nimavi,dhading,
31462,chyan danda,avi,chyan danda,,,pravi,nuwakot,
31463,chyan danda,pravi,,,,,sindhupalchok,
31464,city academy,,,,,,kathmandu,
31465,city ebs,,,,,,kathmandu,
31466,clark memorial himalayan ebs,,,,,,lalitpur,
31467,clifton academy,,,,,,makwanpur,
31468,clinton school,,,,,,kathmandu,
31469,college of business management,mavi,,,,,kathmandu,
31470,columbus international ebs,,colombus international ebs,,,,kathmandu,
31471,columbus national school,,,,,,kathmandu,
31472,columbus school & college,pravi,columbus ebs,,,,kathmandu,
