school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
555,shantipura,mavi,khotang,
556,tomane,pravi,khotang,
557,ganesha,avi,khotang,
558,sajha,pravi,khotang,
559,jana jagrriti,pravi,khotang,
560,prrithvi,mavi,khotang,
561,dharapani,mavi,khotang,
562,kushmanda,avi,okhaldhunga,
563,devi,avi,khotang,
564,maha kala,pravi,khotang,
565,lamitara,avi,ilam,
566,pamchayata rajata,pravi,khotang,
567,shanti,avi,khotang,
568,damodara mahasimha,pravi,khotang,
569,janashrama,pravi,khotang,
570,dipaka janajyoti,pravi,khotang,
571,sarvodaya,avi,sunsari,
572,rashtriya,pravi,khotang,
573,savakali,mavi,khotang,
574,ganesha,avi,morang,
575,jala kanya,avi,khotang,
576,chandra,pravi,khotang,
577,bhimasena adarsha,avi,udayapur,
578,pa~nchakanya,pravi,khotang,
579,shikshadipa,pravi,khotang,
580,devi,avi,khotang,
581,jaleshvari,mavi,khotang,
582,vadala,pravi,khotang,
583,navajyoti,pravi,khotang,
584,sarasvati,mavi,khotang,
585,janaseva,pravi,khotang,
586,chakali devi,avi,khotang,
587,chautare damda,pravi,khotang,
588,vidyodaya,pravi,khotang,
589,pa~nchakanya,avi,khotang,
590,sarasvati,avi,khotang,
591,lakshmi,avi,khotang,
592,bhanu,avi,khotang,
593,tribhuvana,pravi,khotang,
594,mahendrodaya,nimavi,khotang,
595,chandeshvari,nimavi,khotang,
596,usunakoshi,pravi,khotang,
597,janajagrriti,avi,khotang,
598,janajagrriti,avi,khotang,
599,krrishna,nimavi,khotang,
600,sarasvati,pravi,khotang,
601,shamkheshvari,nimavi,khotang,
602,kalika,mavi,khotang,
603,janachetana,avi,khotang,
604,shikhara,pravi,khotang,
605,pamcha,mavi,khotang,
606,pa~ncha,mavi,khotang,
607,jaleshvari,avi,khotang,
608,pamcha,pravi,khotang,
609,shiddheshvari,avi,nuwakot,
610,khartamcha,pravi,khotang,
611,vidyodaya,pravi,khotang,
612,janata,pravi,dolpa,
614,pa~ncha,mavi,khotang,
615,,mavi,khotang,
616,simha kali,pravi,khotang,
617,seti,pravi,khotang,
618,sapta kanya,pravi,saptari,
619,lala kanya,pravi,khotang,
620,himalaya,avi,khotang,
621,shivasthana,pravi,khotang,
622,champavati,mavi,khotang,
623,shiddheshvari,avi,khotang,
624,lalita vikasha,nimavi,lalitpur,
625,vahala devi,pravi,khotang,
626,sarasvati,mavi,khotang,
627,janajagrriti,avi,khotang,
628,kalika janajagrriti,nimavi,khotang,
629,damli,mavi,khotang,
630,janata,avi,khotang,
631,ta ya la,pravi,khotang,
632,jana jyoti,pravi,khotang,
633,devasthana,avi,khotang,
634,bhasha,avi,khotang,
635,champavati,mavi,khotang,
636,deurali,mavi,khotang,
637,champakali,pravi,khotang,
638,jalapa,avi,khotang,
639,chandra,pravi,khotang,
640,simha devi,mavi,khotang,
641,manu,pravi,khotang,
642,veganalala,avi,morang,
643,mahamkala,avi,khotang,
644,makpa,mavi,khotang,
645,lohandra,avi,morang,
646,sigana,mavi,baglung,
647,janajagrriti,mavi,baglung,
648,janata,mavi,baglung,
649,bhanu,mavi,baglung,
650,prrithvi,mavi,baglung,
651,himalaya dandapani nyaupane,mavi,bhaktapur,
652,janajyoti,pravi,baglung,
653,vishnu,nimavi,baglung,
654,galkota,mavi,baglung,
655,dhana gaujyoti,mavi,dhankuta,
656,vagishvari,nimavi,pyuthan,
657,shiva,mavi,parbat,
658,vidyajyoti,avi,mustang,
659,namuna,avi,mustang,
660,titya~na,nimavi,baglung,
661,lakshmi,pravi,baglung,
662,hari,mavi,baglung,
663,bhagavati,pravi,baglung,
664,janajagarana,pravi,baglung,
665,suryodaya,mavi,baglung,
666,janakalyana,mavi,baglung,
667,janata,mavi,baglung,
668,sigana,mavi,baglung,
669,mulapani,mavi,baglung,
670,kalika kanya mandira,mavi,kalikot,
671,samdi,pravi,baglung,
672,suntalachaura,mavi,baglung,
673,shivalaya,mavi,salyan,
674,kamkrakhora,pravi,baglung,
675,aditya,pravi,bardiya,
676,navayuvaka,avi,baglung,
677,lakshminarayana,avi,baglung,
678,krrishna,pravi,baglung,
679,shivalaya,pravi,baglung,
680,janapriya,pravi,baglung,
681,balamandira,avi,baglung,
682,nepala gharti,pravi,nawalparasi,
683,bharatapapura,pravi,baglung,
684,chandachandranagara,pravi,baglung,
685,upallachaura,avi,baglung,
686,chola~na,pravi,baglung,
687,pandavakhani,mavi,baglung,
688,janaka,nimavi,baglung,
689,barahathana,pravi,baglung,
690,hari,mavi,ilam,
691,mahavidyajana,mavi,baglung,
692,janata,pravi,baglung,
693,deurali,avi,baglung,
694,buddha,mavi,baglung,
695,shanti,mavi,baglung,
696,vala kalyana,pravi,baglung,
697,bhairava,mavi,baglung,
698,prajatantra,pravi,baglung,
699,sharada,pravi,baglung,
700,janajagrriti,avi,kaski,
701,janajagrriti,mavi,baglung,
702,janata,pravi,baglung,
703,prabhata janata,avi,nawalparasi,
704,amarajyoti,mavi,nawalparasi,
705,kalika,mavi,nawalparasi,
706,siddha,mavi,baglung,
707,ratnalakshmi,mavi,baglung,
708,kalika kanya,mavi,baglung,
709,annapurna,avi,mustang,
710,malika,avi,baglung,
711,laharepipala,mavi,baglung,
712,vidyamandira,mavi,baglung,
713,janakalyana,pravi,baglung,
714,jyotipunja,pravi,baglung,
715,shitalapati,avi,baglung,
716,himagamga,avi,khotang,
717,krrishna,mavi,khotang,
718,mohana namuna,mavi,siraha,
719,janata,avi,sunsari,
720,janata,mavi,baitadi,
