school_id,school,school_1,School_level,School_name,Location,Matched_district
140,सुभद्रा प्राथमिक विधालय फाकफोक इलाम,सुभद्रा प्रावि फाकफोक इलाम,प्रावि,सुभद्रा,फाकफोक इलाम,इलाम
141,"नवीनप्रगती प्रा॰वि॰, इलाम",नवीनप्रगती प्रावि इलाम,प्रावि,नवीनप्रगती,इलाम,इलाम
142,"जनशक्ति प्रा॰ वी॰, तनहु",जनशक्ति प्रावि तनहुँ,प्रावि,जनशक्ति,तनहुँ,तनहुँ
143,"लक्ष्मि देवी प्राथमिक विद्यालय, आमचोक, इलाम",लक्ष्मि देवी प्रावि आमचोक इलाम,प्रावि,लक्ष्मि देवी,आमचोक इलाम,इलाम
144,"महेन्द्रोदय आधारभूत विद्यालय, इलाम",महेन्द्रोदय आवि इलाम,आवि,महेन्द्रोदय,इलाम,इलाम
145,"कालीगण्डकी आधारभूत विद्यालय, तनहुँ",कालीगण्डकी आवि तनहुँँ,आवि,कालीगण्डकी,तनहुँँ,तनहुँ
146,"महादेव आधारभूत विद्यालय देवघाट, तनहुँ",महादेव आवि देवघाट तनहुँँ,आवि,महादेव,देवघाट तनहुँँ,तनहुँ
147,माध्यमिक विधालय उ०मा०वि,मावि मावि,मावि,,,
148,"सुम्बेक नि॰मा॰वि॰, इलाम",सुम्बेक निमावि इलाम,निमावि,सुम्बेक,इलाम,इलाम
149,"सिद्देश्वरी प्रा॰वि॰, बरबोटे, इलाम",सिद्देश्वरी प्रावि बरबोटे इलाम,प्रावि,सिद्देश्वरी,बरबोटे इलाम,इलाम
150,"आदर्श आधारभूत विद्यालय इलाम न॰पा॰, इलाम",आदर्श आवि इलाम न पा इलाम,आवि,आदर्श,इलाम न पा इलाम,इलाम
151,"नारायणी नमूना माध्यमिक विद्यालय, भरतपुर-१०, चितवन",नारायणी नमूना मावि भरतपुर चितवन,मावि,नारायणी नमूना,भरतपुर चितवन,चितवन
152,"जन शिशु कल्याण आधारभूत विद्यालय, तनहुँ",जन शिशु कल्याण आवि तनहुँँ,आवि,जन शिशु कल्याण,तनहुँँ,तनहुँ
153,"जनप्रभात माध्यमिक विद्यालय, काठमाडौं",जनप्रभात मावि काठमाडौं,मावि,जनप्रभात,काठमाडौं,काठमाडौं
154,"पुवामाई प्रा॰वि॰, इलाम",पुवामाई प्रावि इलाम,प्रावि,पुवामाई,इलाम,इलाम
155,"नन्द माध्यमिक विद्यालय, इलाम न॰पा॰, इलाम",नन्द मावि इलाम न पा इलाम,मावि,नन्द,इलाम न पा इलाम,इलाम
156,"बुद्ध आर्दश उ॰ माध्यमिक विधालय, झापा",बुद्ध आर्दश मावि झापा,मावि,बुद्ध आर्दश,झापा,झापा
157,"वरचुली माध्यमिक विद्यालय देवचुली, व॰सु॰पूर्व नवलपरासी",वरचुली मावि देवचुली व सु पूर्व नवलपरासी,मावि,वरचुली,देवचुली व सु पूर्व नवलपरासी,पूर्व नवलपरासी
158,"महादेव प्रा॰वि॰, इलाम",महादेव प्रावि इलाम,प्रावि,महादेव,इलाम,इलाम
159,"नर प्रा॰वि॰, इलाम",नर प्रावि इलाम,प्रावि,नर,इलाम,इलाम
160,"हात्तीटार आधारभूत विद्यालय, माईजोगमाई, इलाम",हात्तीटार आवि माईजोगमाई इलाम,आवि,हात्तीटार,माईजोगमाई इलाम,इलाम
161,"लक्ष्मी विद्या भवन आधारभूत विद्यालय, माई न॰पा, इलाम",लक्ष्मी विद्या भवन आवि माई न पा इलाम,आवि,लक्ष्मी विद्या भवन,माई न पा इलाम,इलाम
162,"नेपाल ज्योती आधारभूत विद्यालय, नामसालिङ, इलाम",नेपाल ज्योती आवि नामसालिङ इलाम,आवि,नेपाल ज्योती,नामसालिङ इलाम,इलाम
163,"गजुरमुखी आधारभूत विद्यालय, जीतपुर, इलाम",गजुरमुखी आवि जीतपुर इलाम,आवि,गजुरमुखी,जीतपुर इलाम,इलाम
164,"ज्ञानोदय प्राथमिक विधालय, वढहरे इलाम",ज्ञानोदय प्रावि वढहरे इलाम,प्रावि,ज्ञानोदय,वढहरे इलाम,इलाम
165,"सरस्वती प्राथमिक विधालय, समालबुङ, इलाम",सरस्वती प्रावि समालबुङ इलाम,प्रावि,सरस्वती,समालबुङ इलाम,इलाम
166,"जनता प्राथमिक विधालय प्याङ्ग, इलाम",जनता प्रावि प्याङ्ग इलाम,प्रावि,जनता,प्याङ्ग इलाम,इलाम
