school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
167,16623,siddhartha,siddhartha,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
168,15028,rashtriya,rastriya,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
170,14881,purnasmaraka,purna smarak,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
171,12396,janakalyana,jana kalyan,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
172,15499,sarasvati,saraswati,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
173,15023,rashtapremi,rastra premi,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
176,17298,tribhuvana,tribhuwan,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
177,1150,amara jyoti,amarjyoti,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
179,11292,deumai,deumai,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
180,17130,suryodaya,suryodaya,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
181,1368,bala kalyana,bal kalyan,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
183,14150,narayana,narayan,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
184,15520,sarasvati,saraswati,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
185,1634,bhagavati,bhagawati,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
187,13006,kamala devi,kalika devi,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
188,14717,phalate,phalante,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
190,1505,valmiki simhadevi,balmiki singh devi,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
191,12695,janata,janata,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
193,34362,narayana jana,narayan jana,mavi,mavi,kathmandu,kathmandu,3.0,"District: complete, School level: complete, Root name: complete"
194,1844,vinapani,binapani,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
195,1528,ba.njhogau.n,banjho gau,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
196,16577,siddha devi,siddha devi,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
199,42523,mahendra,mahendra,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
201,15241,salleri,saleri,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
202,12714,janata,janata,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
203,16791,simhadevi,singha devi,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
205,43912,janasahayogi,shree janasahayogi,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
206,41152,dullabha,dullabh,mavi,mavi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
207,41854,jivana jyoti,janajyoti,mavi,mavi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
208,41542,hiramani,hiramani,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
209,11170,chisopani,chisopani,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
212,31216,buddhashanti,buddha shanti,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
213,4410,bashahasthana,basahasthan,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
216,41359,gorakha,gorakhkali,avi,avi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
218,14897,pya~nga,pyang,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
221,4141,annapurna,annapurna,mavi,mavi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
222,1151,amarakalyana,amarkalyan,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
223,33349,kapiya,kapiya,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
224,35395,ratnarajya,ratna rajya,mavi,mavi,kathmandu,kathmandu,3.0,"District: complete, School level: complete, Root name: complete"
226,31060,birendra,birendra,mavi,mavi,nuwakot,nuwakot,3.0,"District: complete, School level: complete, Root name: complete"
227,4110,amrrita,amrit,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
230,4824,chanidaka,chandika,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
236,42741,narayana,narayan,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
237,487,amara,amar,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
239,15883,shivamai,shivamai,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
241,13118,kankai,kankai,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
242,13329,laligura.nsa,laligurans,pravi,pravi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
243,42150,kamala,kamala,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
245,14799,prabodha,prabodh,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
