school_id_A,school_id_B,school_A,school_name_B,school_name_A,extracted_district_A,district_id_B,district_B,province_id_B,province_B,local_level_id_B,location_B,local_level_B
9002,71515,"जगन्नाथ माध्यमिक विद्यालय केदारस्यूँ, बझाङ",Jagannath Secondary School,जगन्नाथ मावि,बझाङ,71,Bajhang,7,Sudurpashchim,44,Sainsyun,Kedarsyun Rural Municipality
9004,61129,"जनज्योति माध्यमिक विद्यालय छत्रेश्वरी गा॰पा॰, सल्यान",Jana Jyoti Primary School,जनज्योति मावि,सल्यान,66,Salyan,6,Karnali,613,Lirapaja,Darma Rural Municipality
11680,61129,"जीवन ज्योती माध्यमिक विद्यालय, रिम, सल्यान",Jana Jyoti Primary School,जीवन ज्योती मावि,सल्यान,66,Salyan,6,Karnali,613,Lirapaja,Darma Rural Municipality
23106,61129,"जनज्याती उ॰ माध्यमिक विधालय, सल्यान",Jana Jyoti Primary School,जनज्याती मावि,सल्यान,66,Salyan,6,Karnali,613,Lirapaja,Darma Rural Municipality
28120,61129,"नव ज्योति माध्यमिक विद्यालय, सल्यान",Jana Jyoti Primary School,नव ज्योति मावि,सल्यान,66,Salyan,6,Karnali,613,Lirapaja,Darma Rural Municipality
9005,6422,"भुवनेश्वरी निम्न माध्यमिक विधालय सानागाँडाकोट, कोटवारा-९, सल्यान",Bhuvaneshwori Pra V,भुवनेश्वरी निमावि,सल्यान,66,Salyan,6,Karnali,618,Khairabang,Sharada Municipality
29426,6422,"भुवनेश्वरी माध्यमिक विद्यालय शारदा न॰पा॰, सल्यान",Bhuvaneshwori Pra V,भुवनेश्वरी मावि,सल्यान,66,Salyan,6,Karnali,618,Khairabang,Sharada Municipality
9008,34200,"मित्र नि॰मा॰वि॰ चावहिल, काठमाडौं",Mitra Basic School,मित्र निमावि,काठमाडौं,23,Kathmandu,3,Bagamati,333,Chabahil,Kathmandu Metropolitan City
9014,61135,"जनकल्यान माध्यमिक विद्यालय थारमारे, सल्यान",Jana Kalyan Basic School,जनकल्यान मावि,सल्यान,66,Salyan,6,Karnali,611,Raira,Bangad Kupinde Municipality
18527,61135,"जनकल्याण माध्यमिक विद्यालय, सल्यान",Jana Kalyan Basic School,जनकल्याण मावि,सल्यान,66,Salyan,6,Karnali,611,Raira,Bangad Kupinde Municipality
9033,43523,"सरस्वती विद्या मन्दिर माध्यमिक विद्यालय, स्याङजा",Saraswoti Vidhya Mandir Secondary School,सरस्वती विद्या मन्दिर मावि,स्याङजा,45,Syangja,4,Gandaki,739,Chapakot,Chapakot Municipality
22943,43523,"सरस्वती विद्या मन्दिर माध्यमिक विद्यालय, सेखाम स्याङजा",Saraswoti Vidhya Mandir Secondary School,सरस्वती विद्या मन्दिर मावि,स्याङजा,45,Syangja,4,Gandaki,739,Chapakot,Chapakot Municipality
9041,61535,कालिका माध्यमिक विधालय कपूरकोट सल्यान,Kalika Basic School,कालिका मावि,सल्यान,66,Salyan,6,Karnali,613,Lakuridanda,Darma Rural Municipality
18504,61535,"कालिका माध्यमिक विधालय, कजेरी सल्यान",Kalika Basic School,कालिका मावि,सल्यान,66,Salyan,6,Karnali,613,Lakuridanda,Darma Rural Municipality
18509,61535,"कालिका माध्यमिक विद्यालय, बागचौर न॰पा॰, सल्यान",Kalika Basic School,कालिका मावि,सल्यान,66,Salyan,6,Karnali,613,Lakuridanda,Darma Rural Municipality
